Column,Accident_Index,Accident_Severity,Date,Day_of_Week,Light_Conditions,Number_of_Casualties,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Police_Force,Road_Surface_Conditions,Road_Type,Special_Conditions_at_Site,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Age_Band_of_Driver,Sex_of_Driver,Driver_age_sex,Vehicle_Type
6708,2016133CM0221,Slight,2016-12-22,Thursday,Darkness - lights lit,1,0,0,West Yorkshire,Frost or ice,Single carriageway,None,30,06:25:00,Rural,Fine no high winds,16 - 20,Male,16 - 20_Male,9
6709,2016133CM1280,Slight,2016-12-22,Thursday,Darkness - lights lit,1,0,0,West Yorkshire,Wet or damp,Dual carriageway,None,40,18:05:00,Urban,Fine no high winds,36 - 45,Male,36 - 45_Male,9
6711,2016133CO0136,Slight,2016-12-24,Saturday,Darkness - lights lit,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,01:25:00,Urban,Fine no high winds,26 - 35,Male,26 - 35_Male,9
6713,2016133CO0996,Slight,2016-12-24,Saturday,Darkness - lights lit,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,15:40:00,Urban,Fine no high winds,26 - 35,Male,26 - 35_Male,9
6715,2016133CP0558,Slight,2016-12-25,Sunday,Daylight,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,13:00:00,Urban,Fine no high winds,26 - 35,Female,26 - 35_Female,9
6716,2016133CQ0944,Serious,2016-12-26,Monday,Darkness - lights lit,1,0,1,West Yorkshire,Dry,Single carriageway,None,30,16:40:00,Urban,Fine no high winds,66 - 75,Female,66 - 75_Female,9
6717,2016133CQ1029,Serious,2016-12-26,Monday,Darkness - lights lit,1,0,4,West Yorkshire,Dry,Dual carriageway,None,40,17:55:00,Urban,Fine no high winds,66 - 75,Male,66 - 75_Male,9
6718,2016133CQ1179,Slight,2016-12-26,Monday,Darkness - lights lit,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,19:26:00,Urban,Fine no high winds,36 - 45,Male,36 - 45_Male,9
6719,2016133CQ1639,Slight,2016-12-26,Monday,Darkness - lights lit,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,23:50:00,Urban,Fine no high winds,26 - 35,Male,26 - 35_Male,9
6721,2016133CS0793,Slight,2016-12-28,Wednesday,Daylight,2,0,0,West Yorkshire,Dry,Single carriageway,None,30,10:05:00,Urban,Fine no high winds,Over 75,Female,Over 75_Female,9
6722,2016133CS1279,Slight,2016-12-28,Wednesday,Darkness - lights lit,3,0,5,West Yorkshire,Wet or damp,Dual carriageway,None,40,19:34:00,Urban,Fine no high winds,36 - 45,Male,36 - 45_Male,9
6723,2016133CT0875,Serious,2016-12-29,Thursday,Daylight,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,14:46:00,Urban,Fine no high winds,21 - 25,Male,21 - 25_Male,9
